company_name,description,short_description,website,founded_year,ai_focus,sector,funding_total_usd,funding_stage,city,region,country,founders,founders_count,investors,categories,linkedin_url,employee_count,revenue_millions,valuation_millions,last_funding_date,tech_stack,competitors,source_url,extraction_date,confidence_score,linkedin_profiles_found
Genesis AI,"Genesis AI is a startup that aims to build a foundational model for powering all kinds of robots, focusing on automating a wide range of repetitive tasks using synthetic data generated from a proprietary physics engine.",Genesis AI develops AI models for robotics using synthetic data.,,2025.0,robotics,technology,105000000.0,seed,,,,Zhou Xian; Théophile Gervet,2,Eclipse; Khosla Ventures,AI; Robotics,,,,,,,,https://techcrunch.com/2025/07/01/genesis-ai-launches-with-105m-seed-funding-from-eclipse-khosla-to-build-ai-models-for-robots/,2025-07-11 11:47:48.668489,0.7633333333333332,5
Mechanize,"Developer of AI systems designed to perform any task a human can do for economic value. The company's system can do various tasks such as tax filing to copywriting, from data entry to diagnostics, from bookkeeping to basic legal work, building digital training grounds, virtual environments that simulate real-world workflows and allow AI agents to learn by doing, enabling businesses to get AI agents to reduce human workloads and streamline their operations.",AI systems developer for automating various human tasks.,,2025.0,general AI applications,Business/Productivity Software,,unknown,San Francisco,CA,USA,,0,Angel (individual),AI; Business/Productivity Software,,,,,,,,https://pitchbook.com/profiles/company/846556-03,2025-07-11 11:47:54.059795,0.7633333333333332,2
Alta,"Alta is an AI stylist and personal shopper that makes outfit recommendations based on users' budget, lifestyle, weather, and calendar, allowing users to try on looks with their personalized virtual avatar.",Alta is an AI-driven personal styling agent that helps users choose outfits.,https://www.altadaily.com/,,computer vision,fashion,11000000.0,seed,,,,Jenny Wang,1,Menlo Ventures,AI; Fashion Tech,,,,,,,,https://techcrunch.com/2025/06/16/alta-raises-11m-to-bring-clueless-fashion-tech-to-life-with-all-star-investors/?utm_source=chatgpt.com,2025-07-11 11:47:59.167037,0.7633333333333332,2
Reflection AI,Reflection AI is building coding agents that can function autonomously.,A startup focused on developing autonomous coding agents.,,2025.0,autonomous coding,technology,,,,,,Misha Laskin; Ioannis Antonoglou,2,,AI; Machine Learning,,,,,,,,https://www.bloomberg.com/news/articles/2025-03-07/ex-deepmind-researchers-new-startup-aims-for-superintelligence,2025-07-11 11:48:10.121180,0.7633333333333332,2
Kai Ai,Ai software Development and Data Processing,Kai Ai specializes in AI software development and data processing.,https://www.mykai.ai/,,NLP,software,200000.0,pre-seed,Sacramento,California,United States,,0,,AI,,,,,,,,https://www.crunchbase.com/organization/kai-ai-3e9a,2025-07-11 11:48:16.032069,0.77,3
Mach Industries,"Mach Industries is a defense technology company focused on developing advanced weaponry and unmanned aerial vehicles, including a vertical takeoff precision cruise missile and a super-light jet-powered UAV.",Mach Industries develops innovative defense technologies and UAVs.,,,,Defense,,,Huntington Beach,California,United States,Ethan Thornton,1,Sequoia,Defense Tech,,,,,,,,https://techcrunch.com/2025/03/04/mach-industries-founded-by-21-year-old-ethan-thornton-lands-us-army-contract-builds-weapons-factory/?utm_source=openai,2025-07-11 11:48:20.802502,0.75,1
LGND,"LGND is a startup that aims to enhance the efficiency of analyzing geographic data through machine learning and neural networks, specifically focusing on identifying fire breaks in satellite imagery.",LGND uses AI to improve the efficiency of geographic data analysis.,https://lgnd.io/,,computer vision,data analysis,9000000.0,seed,,,,Nathaniel Manning; Bruno Sánchez-Andrade Nuño,2,Javelin Venture Partners; AENU; Clocktower Ventures; Coalition Operators; MCJ; Overture; Ridgeline; Space Capital; John Hanke; Karim Atiyeh; Suzanne DiBianca,AI; Machine Learning,,,,,,,,https://techcrunch.com/2025/07/10/lgnd-wants-to-make-chatgpt-for-the-earth/,2025-07-11 11:48:26.831700,0.7633333333333332,3
Arcee.ai,Arcee.ai is a startup focused on leveraging artificial intelligence to enhance various business processes and decision-making.,AI-driven solutions for business optimization.,,2025.0,business process optimization,technology,,,,,,,0,,AI; Business Optimization,,,,,,,,https://pitchbook.com/profiles/company/537629-05,2025-07-11 11:48:40.063969,0.7633333333333332,2
Deep Cogito,Deep Cogito is an AI research startup that has emerged from stealth with a focus on developing open source large language models (LLMs) that are fine-tuned from Meta’s Llama 3.2 and equipped with hybrid reasoning capabilities. The company aims to push the boundaries of AI by enabling models to iteratively refine their reasoning strategies and ultimately develop superintelligence.,An AI research startup focused on developing open source large language models with advanced reasoning capabilities.,https://www.deepcogito.com/research/cogito-v1-preview,2025.0,Natural Language Processing,Technology,,,San Francisco,California,United States,Drishan Arora,1,,AI; Machine Learning; Open Source,,,,,,,,https://venturebeat.com/ai/new-open-source-ai-company-deep-cogito-releases-first-models-and-theyre-already-topping-the-charts/,2025-07-11 11:49:04.627448,0.7633333333333332,2
Vellum.ai,"Vellum.ai focuses on helping companies improve their generative AI prompting, leveraging large language models to enhance business applications.",A startup that enhances generative AI prompting for businesses.,http://vellum.ai/,,NLP,technology,5000000.0,seed,,,,Akash Sharma; Noa Flaherty; Sidd Seethepalli,3,Rebel Fund; Eastlink Capital; Pioneer Fund; Y Combinator,AI; Generative AI,,,,,,,,https://techcrunch.com/2023/07/11/prompt-engineering-startup-vellum-ai/,2025-07-11 11:49:33.437502,0.77,2
LangChain,"LangChain is an AI infrastructure startup providing tools to build and monitor LLM-powered applications, solving problems related to real-time information access and interaction with databases.",LangChain offers tools for building applications on top of LLM models.,https://langchain.com/,,NLP,technology,35000000.0,series-a,,,,Harrison Chase,1,Benchmark; Sequoia,AI; Machine Learning,,,,,,,,https://techcrunch.com/2025/07/08/langchain-is-about-to-become-a-unicorn-sources-say/,2025-07-11 11:49:43.625240,0.77,1
Deepnight,Deepnight is a startup focused on developing AI-powered night vision software that aims to disrupt the traditional analog night vision technology used by the military.,Deepnight creates AI-driven solutions for digital night vision technology.,,2025.0,computer vision,military technology,5500000.0,seed,,,,Lucas Young; Thomas Li,2,,AI; Computer Vision,,,,,,,,https://techcrunch.com/2025/02/27/yc-grad-deepnight-nabs-5-5m-for-ai-night-vision-software-that-disrupts-a-multi-billion-dollar-industry/,2025-07-11 11:50:05.861046,0.7633333333333332,2
Exa,"Exa is building a tool that allows AI models to perform web searches with an AI-native twist, focusing on predicting links rather than words.",A startup creating a search engine for AI models that predicts links.,https://exa.ai/,,NLP,technology,17000000.0,series-a,,,,Will Bryk,1,Lightspeed; Nvidia NVentures; Y Combinator,AI; Machine Learning,,,,,,,,https://techcrunch.com/2024/07/16/exa-raises-17m-lightspeed-nvidia-ycombinator-google-ai-models/,2025-07-11 11:50:26.002711,0.7633333333333332,3
Hightime AI,"Hightime AI helps developers build high-accuracy, robust Natural Language APIs tailored to their specific tasks.",Hightime AI provides tailored Natural Language APIs for developers.,https://hightime.ai/,,Natural Language Processing,Technology,,pre-seed,Mountain View,California,United States,,0,Y Combinator,AI; Natural Language Processing,,,,,,,,https://www.crunchbase.com/organization/hightime-ai,2025-07-11 11:50:30.366236,0.77,1
Crossing Minds,"Crossing Minds provides AI recommendation systems to e-commerce businesses, focusing on improving personalization and recommendation systems by studying customers' on-site behavior data while ensuring privacy.",AI recommendation startup for e-commerce.,https://www.crossingminds.com/,,Recommendation Systems,E-commerce,13500000.0,,,,,Alexandre Robicquet,1,Index Ventures; Shopify; Plug and Play; Radical Ventures,AI; E-commerce; Recommendation Systems,,,,,,,,https://techcrunch.com/2025/06/27/openai-hires-team-behind-ai-recommendation-startup-crossing-minds/,2025-07-11 11:50:35.379322,0.77,3
Alecto AI,"Alecto AI focuses on providing solutions in the fields of SaaS, enterprise security, and privacy using AI and machine learning technologies.",Alecto AI offers AI-driven solutions for enterprise security and privacy.,https://alectoai.com/,,Security and Privacy AI,SaaS/Enterprise Security,,,,,,Wen Liu; Qi Xia,2,,SaaS; Enterprise Security; Privacy; AI; Machine Learning,,,,,,,,https://techcrunch.com/startup-battlefield/company/alecto-ai/,2025-07-11 11:50:42.112234,0.7633333333333332,2
Galen AI,Galen AI is focused on developing agentic AI solutions that can think and perform tasks autonomously.,Galen AI creates autonomous AI agents for various applications.,,2025.0,agentic AI,technology,500000.0,seed,San Francisco,California,USA,Priyanka Shrestha,1,Y Combinator,AI; agentic AI,,,,,,,,https://www.businessinsider.com/y-combinator-yc-demo-day-spring-ai-agent-startups-2025-6,2025-07-11 11:51:13.752934,0.7633333333333332,2
Nexa AI,"Nexa AI is a startup focused on providing AI and machine learning solutions for security and privacy, as well as development tools.",Nexa AI offers innovative AI solutions for security and development.,https://nexa.ai/,,,,,,,,,Alex Chen; Zack Li,2,,Security & Privacy; AI/Machine Learning; Dev Tools,,,,,,,,https://techcrunch.com/startup-battlefield/company/nexa-ai/,2025-07-11 11:51:18.727481,0.7633333333333332,4
