name,description,founded_year,funding_total_usd,funding_stage,founders,investors,categories,city,region,country,sector,website,linkedin_url,crunchbase_url,source_url,extraction_date,market_size_billion,cagr_percent,timing_score,competitor_count,market_stage,confidence_score_market,us_sentiment,sea_sentiment,total_funding_billion,momentum_score
Adept AI,Adept AI is a machine learning research platform that develops AI systems that enable human-computer collaboration.,2022,415000000.0,series_b,Ashish Vaswani|David Luan|Kelsey Szot|Niki Parmar,General Catalyst|Nvidia|Spark Capital|Microsoft|Root Ventures,AI|Machine Learning,,,United States,"""AI-Driven General Intelligence Agent Development""",https://adept.ai,https://www.linkedin.com/company/adeptai,https://www.crunchbase.com/organization/adept-48e7,https://www.adept.ai/,2025-07-23 19:40:29.876781,1.2,35.0,4.0,15,early,0.85,4.3,3.8,0.8,3.8
Vicarious,Vicarious is an artificial intelligence firm that uses the computational principles of the brain to develop general intelligence.,2010,122000000.0,series_unknown,Dileep George|Scott Phoenix,Khosla Ventures|Founders Fund|Y Combinator|Felicis|Promus Ventures,AI|Robotics|Automation,,,United States,"""AI-Driven Robotics Automation Solutions for Complex Tasks""",https://www.vicarious.com/,https://www.linkedin.com/company/vicarious-ai/about/,https://www.crunchbase.com/organization/vicarious-systems-inc,https://www.vicarious.com/,2025-07-23 19:40:42.826021,1.2,20.0,3.5,15,growth,0.85,3.8,3.2,0.5,3.0
CogniAIm,CogniAIm is a company focused on delivering business value through Artificial Intelligence.,2023,,,,,Artificial Intelligence|Machine Learning,,,United States,"""Artificial General Intelligence Development Platforms""",https://www.cogniaim.com/,https://www.linkedin.com/company/cogniaiminc/,https://www.crunchbase.com/organization/cogniaim,https://cognami.com/,2025-07-23 19:41:07.968418,0.5,40.0,4.5,15,early,0.85,4.3,4.1,1.2,4.2
Continual,Continual is a next-generation AI platform for the modern data stack powered by end-to-end automation and a declarative workflow.,2019,18500000.0,series_a,not specified|Tristan Zajonc|Tyler Kohn,Inspired Capital Partners|Gtmfund|Illuminate Ventures|Amplify Partners|Innovation Endeavors,AI|Marketing Automation,not specified,not specified,United States,"""AI-Driven Marketing Automation Solutions""",https://continual.ai/,https://not specified,https://www.crunchbase.com/organization/continual,https://www.continual.ai/,2025-07-23 19:41:19.005325,3.2,28.0,4.5,40,growth,0.85,4.3,3.8,1.1,4.2
Credo AI,Credo AI is an AI governance platform that automates AI oversight and risk management.,2020,41300000.0,series_b,Madhav K. Sarda|Sanjay S. K. Sarda|Eli Chen|Navrina Singh,Fpv Ventures|Village Global|Sands Capital Ventures|Ai Fund|Decibel Partners,AI Governance|Risk Management|Compliance,San Francisco,California,United States,"""AI Governance and Compliance Solutions Platform""",https://www.credo.ai/,https://www.linkedin.com/company/credo-ai,https://www.crunchbase.com/organization/credo-ai,https://www.credo.ai/,2025-07-23 19:41:35.023476,1.5,25.0,4.5,10,growth,0.85,4.2,4.0,0.5,4.2
InitializeAI,"InitializeAI offers a full suite of startup services like legal, marketing, human resources and assist small businesses.",2020,,,,,AI|SaaS|Consulting,,,United States,"""AI Implementation Solutions for Diverse Industries""",https://initializeai.com/,https://www.linkedin.com/company/initializeai/,https://www.crunchbase.com/organization/initializeai,https://initializeai.com/,2025-07-23 19:41:51.274428,7.0,35.0,4.5,40,growth,0.85,4.3,3.8,1.5,4.2
Synthesis AI,Synthesis AI provides a data generation platform for computer vision.,2019,13134444.5,series_unknown,Yashar Behzadi,468 Capital|Bossa Invest|Bee Partners|Swift Ventures|Sorenson Ventures,Artificial Intelligence|Machine Learning|Data Generation,San Francisco,CA,United States,"""Synthetic Data Generation for Computer Vision Applications""",http://synthesis.ai/,https://www.linkedin.com/company/synthesis-ai/about/,https://www.crunchbase.com/organization/synthesis-ai,https://www.appengine.ai/company/synthesis-ai,2025-07-23 19:42:04.487039,0.15,30.0,3.5,10,growth,0.85,3.8,3.2,0.3,3.7
Katana Graph,Katana Graph develops performance graph databases designed to interact with unstructured data.,2020,28500000.0,series_a,Keshav Pingali|Chris Rossbach,Celesta Capital|Intel Capital|Dell Technologies Capital|Redline Capital|Nepenthe Capital,Data Management|AI,Austin,Texas,United States,"""AI-Driven Unstructured Data Management Solutions""",https://katanagraph.ai,https://www.linkedin.com/company/katana-graph/,https://www.crunchbase.com/organization/katana-graph,https://venturebeat.com/ai/katana-graph-raises-28-5-million-to-handle-unstructured-data-at-scale/,2025-07-23 19:42:17.704970,11.0,13.0,4.0,20,unknown,0.85,4.2,3.8,1.5,3.8
ConverseNow,ConverseNow develops a personalized and natural two-way conversation platform for the restaurant ordering experience.,2018,21625000.0,series_a,Rahul Aggarwal|Vinay Shukla,Craft Ventures|Moneta Ventures|2048 Ventures|Enlightened Hospitality Investments|Liveoak Ventures,AI|Voice Technology|Restaurant Tech,Austin,Texas,United States,"""AI Voice Ordering Solutions for Quick-Service Restaurants""",http://www.conversenow.ai/,https://www.linkedin.com/company/conversenowai,https://www.crunchbase.com/organization/conversenow,https://techcrunch.com/2021/07/29/conversenow-is-targeting-restaurant-drive-thrus-with-new-15m-round/,2025-07-23 19:42:28.001636,0.3,20.0,3.5,10,growth,0.85,3.8,3.2,0.15,3.7
Overhaul,"Overhaul is a supply chain integrity technology solution, leveraging visibility to detect and correct non-compliance within supply chains.",2016,108713335.0,series_b,Barry Conlon|Robert Clarke,Stepstone Group|Edison Partners|Egateway Capital|Avanta Ventures|Macquarie Capital,AI|Supply Chain Management,Austin,Texas,United States,"""AI-Driven Supply Chain Disruption Management Solutions""",https://over-haul.com,https://www.linkedin.com/company/overhaul-inc.,https://www.crunchbase.com/organization/overhaul,https://venturebeat.com/ai/overhaul-raises-17-5-million-to-apply-ai-to-supply-chain-management/,2025-07-23 19:42:38.058128,4.5,11.0,3.8,15,unknown,0.85,3.9,3.5,0.8,3.7
EmPath,EmPath provides the workforce of the future with a greater understanding of employee skills and talent development.,2016,1000000.0,seed,Felix Ortiz III|Adam Blum|Carlos Gutierrez|Deniz Ercelebi|Felix O Iii,B Capital|City Light Capital|Technexus Venture Collaborative|Subversive Capital,AI|Education Technology,Austin,Texas,United States,"""AI-Driven Employee Skill Development Platform""",http://www.empath.net,https://www.linkedin.com/company/empathco/,https://www.crunchbase.com/organization/empath-52dc,https://techcrunch.com/2020/09/15/austin-based-empaths-employee-training-and-re-skilling-service-snags-seed-funding-from-b-capital/,2025-07-23 19:42:49.643105,4.5,10.0,4.0,15,unknown,0.85,4.2,4.0,0.8,3.5
Slingshot Aerospace,"Slingshot Aerospace builds space data, analytics, and simulation solutions.",2017,78467950.0,series_a,David Godwin|Melanie Stricklan|Thomas Ashman,Trinity Capital|Alumni Ventures|Techstars|Valor Equity Partners|Draper Associates,AI|Aerospace|Defense,Austin,Texas,United States,"""AI-Driven Aerospace Data Analytics Solutions""",http://www.slingshotaerospace.com,https://www.linkedin.com/company/slingshot-aerospace,https://www.crunchbase.com/organization/slingshot-aerospace,https://techcrunch.com/2020/10/29/slingshot-aerospace-raises-8-million-to-help-it-expand-to-new-verticals-beyond-aerospace-and-defense/,2025-07-23 19:43:03.045211,2.8,14.0,4.5,18,unknown,0.85,4.7,4.2,0.8,4.3
Gembah,Gembah provides consumer services intended to empower businesses and product innovation.,2018,14515000.0,series_a,Henrik Johansson|Steven Blustein|Zack Leonard,Silverton Partners|Flexport|Capital Factory|Atx Venture Partners|Dan Graham,AI|Product Development,Austin,Texas,United States,"""Product Development Marketplace for Small Businesses""",https://www.gembah.com/,https://www.linkedin.com/company/gembah-inc/,https://www.crunchbase.com/organization/gembah,https://techcrunch.com/2021/07/12/gembah-raises-11m-to-democratize-product-innovation/,2025-07-23 19:43:13.402320,10.2,11.8,4.0,18,unknown,0.85,4.3,3.8,1.3,3.7
Wizard,Wizard operates a commerce technology startup to transform e-commerce with conversational AI.,1995,50000000.0,series_a,Melissa Bridgeford,Accel|New Enterprise Associates|Marc Lore,Conversational Commerce|E-commerce,Austin,Texas,United States,"""Conversational Commerce Solutions for Mobile Shopping""",https://www.wizard-inc.us,https://www.linkedin.com/company/wizard,https://www.crunchbase.com/organization/wizard-2993,https://techcrunch.com/2021/10/06/marc-lore-backed-conversational-commerce-startup-wizard-raises-50m-series-a-from-nea/,2025-07-23 19:43:23.304307,0.3,20.0,3.5,10,growth,0.85,3.8,3.2,0.15,3.0
Homeward,Homeward is an Austin-based startup that enables homebuyers to make all-cash offers and buy a new home before they sell their old one.,2018,303000000.0,series_b,unknown|Tim Heyl,Norwest Venture Partners|Adams Street Partners|Blackstone Group|Breyer Capital|Keystone Bank,Real Estate|Fintech,Austin,Texas,United States,"""Real Estate Financing Solutions for Homebuyers""",https://www.homeward.com/,https://unknown,https://www.crunchbase.com/organization/homeward,https://techcrunch.com/2020/05/14/austins-homeward-raises-105-million-to-buy-your-new-home-for-you/,2025-07-23 19:43:34.407325,1.2,15.0,4.5,10,unknown,0.85,4.8,4.2,0.5,4.2
Fox Robotics,"Fox Robotics develops, manufactures, and sells the world's first autonomous trailer loader/unloader, the FoxBot.",2017,23000000.0,series_b,Charles Duhadway|Peter Anderson Sprecher,Menlo Ventures|Congruent Ventures|Signalfire|Foothill Ventures|Eniac Ventures,robotics|automation,Austin,Texas,United States,"""Autonomous Warehouse Robotics Solutions""",https://www.foxrobotics.com/,https://www.linkedin.com/company/foxbots/about/,https://www.crunchbase.com/organization/fox-robotics-a9e8,https://techcrunch.com/2020/08/25/austins-fox-robotics-raises-a-9m-series-a-for-its-robotic-forklifts/,2025-07-23 19:43:47.493926,1.5,15.0,4.0,15,unknown,0.85,4.2,4.0,0.5,3.5
MonkeyLearn,MonkeyLearn is a text analysis platform with machine learning to automate business workflows and save hours of manual data processing.,2014,3217500.0,seed,Ernesto Rodriguez|Federico Pascual|Martin Rubi|Raul Garreta,Bling Capital|500 Global|Uncork Capital|Garuda Ventures|Silicon Valley Bank,NLP|text analysis|low-code,,,United States,"""Low-Code Natural Language Processing Solutions""",https://www.monkeylearn.com,https://www.linkedin.com/company/monkeylearn,https://www.crunchbase.com/organization/monkeylearn,https://techcrunch.com/2020/07/07/monkeylearn-raises-2-2m-to-build-out-its-no-code-ai-text-analysis-service/,2025-07-23 19:43:59.665027,3.5,18.0,4.0,15,growth,0.85,4.2,3.8,1.2,4.0
Copy.ai,Copy.ai is a startup building AI-powered copywriting tools for business customers.,2020,15400000.0,series_unknown,Paul Yacoubian|Chris Lu,Sequoia Capital|Craft Ventures|Wing Venture Capital|K5 Global|Tiger Global Management,AI|NLP|Copywriting,San Francisco,California,United States,"""AI-Driven Copywriting and Content Generation Tools""",https://www.copy.ai,https://www.linkedin.com/company/copy-ai/,https://www.crunchbase.com/organization/copyai,https://techcrunch.com/2021/10/14/writing-helper-copy-ai-closes-on-its-second-funding-round-this-year/,2025-07-23 19:44:12.180314,0.5,30.0,4.5,10,growth,0.85,4.2,3.8,0.3,4.0
Lang.ai,Lang.ai is a language understanding platform that automates tagging and repetitive actions for every support conversation.,2018,7250000.0,series_a,Jorge Peñalva|Borja González|Enrique Fueyo Ramírez,Alumni Ventures|500 Global|Village Global|Alma Mundi Ventures|Gtmfund,NLP|SaaS|AI,,,United States,"""No-Code Natural Language Processing Solutions""",http://www.lang.ai,https://www.linkedin.com/company/lang-ai/,https://www.crunchbase.com/organization/lang-ai,https://techcrunch.com/2021/02/10/lang-ai-snags-2m-to-remove-technical-burden-of-implementing-ai-for-businesses/,2025-07-23 19:44:36.152634,1.5,20.0,4.5,10,growth,0.85,4.8,4.2,0.5,4.5
Deepgram,"Deepgram specializes in providing AI-powered speech-to-text technology that offers audio intelligence, text-to-speech, and voice agent API.",2015,48960000.0,series_b,Noah Shutty|Scott Stephenson,Blackrock|Nvidia|Y Combinator|Madrona|Bossa Invest,Speech Recognition|AI,,,United States,"""Real-Time AI Speech Recognition Solutions for Enterprises""",https://deepgram.com/,https://www.linkedin.com/company/deepgram,https://www.crunchbase.com/organization/deepgram,https://techcrunch.com/2020/03/18/deepgram-raises-12m-for-enterprise-speech-recognition/,2025-07-23 19:44:49.872750,1.3,15.0,4.0,10,unknown,0.85,4.2,4.0,0.5,3.5
Black Crow AI,Black Crow AI develops a business analytics platform that delivers machine learning predictions.,2020,25000000.0,series_a,Damon Tassone|Richard Harris,Primary Venture Partners|Left Lane Capital|Bloomberg Beta|Tapestry Vc|Imaginary Ventures,AI|Predictive Analytics|E-commerce,,,United States,"""AI-Driven E-Commerce Predictive Analytics Solutions""",https://www.blackcrow.ai/,https://www.linkedin.com/company/blackcrowai,https://www.crunchbase.com/organization/black-crow-ai,https://techcrunch.com/2022/03/31/black-crow-ai-raises-25m-to-predict-which-products-ecommerce-customers-will-buy/,2025-07-23 19:45:00.232054,4.5,15.0,4.5,30,unknown,0.85,4.8,4.2,1.5,4.5
"Artificial Intelligence Risk, Inc.","Leading AI Safety, Secuity, and Compliance.",2023,1420000.0,pre_seed,Alec Crawford|Frank Fitzgerald,"Owl Peak Management, Llc",AI Governance|Cyber Security,Greenwich,Connecticut,United States,"""AI Governance and Risk Management Solutions""",https://www.aicrisk.com,https://www.linkedin.com/company/artificial-intelligence-risk-inc/,https://www.crunchbase.com/organization/artificial-intelligence-risk-inc,https://www.techdogs.com/tech-news/business-wire/artificial-intelligence-risk-named-as-waters-rankings-best-cyber-security-provider-for-the-air-gpt-ai-cybersecurity-platform,2025-07-23 19:45:20.144893,7.2,14.0,4.5,18,unknown,0.85,4.3,3.8,1.3,4.2
Cogniteam,"Cogniteam developed a unified cloud-based platform to manage, deploy, and control AIoT devices, robots, and entire fleets effortlessly.",2010,9350000.0,series_a,Nachum Kaminka|Yehuda Elmaliah,Panthera Private Office|Andrew Owens,AI|Robotics|Low-code,,,United States,"""Low-Code Robotics AI Software Development Platform""",http://cogniteam.com/,https://www.linkedin.com/company/5085458,https://www.crunchbase.com/organization/cogniteam,https://venturebeat.com/business/cogniteam-to-enhance-low-code-ai-robotics-platform-with-5-6m/,2025-07-23 19:45:40.756748,0.2,25.0,3.5,10,growth,0.85,3.8,3.2,0.15,3.0
Chef Robotics,Chef Robotics is a robotics and artificial intelligence company serving the food industry.,2019,65600000.0,series_a,Rajat Bhageria,Gaingels|Alumni Ventures|Kleiner Perkins|Construct Capital|Promus Ventures,Robotics|Food Automation,,,United States,"""Automated Food Preparation Robotics Solutions""",http://chefrobotics.ai,https://www.linkedin.com/company/chef-robotics,https://www.crunchbase.com/organization/chef-robotics,https://techcrunch.com/2020/06/14/where-are-all-the-robots/,2025-07-23 19:45:50.723617,0.5,15.0,3.8,10,unknown,0.85,3.5,3.0,0.3,3.5
Fetch Robotics,Fetch Robotics provides a cloud-driven Autonomous Mobile Robot (AMR) solution for warehousing intralogistics environments.,2014,94000000.0,series_c,Melonee Wise,Translink Capital|Shasta Ventures|Softbank|Employee Stock Option Fund|R136 Ventures,robotics|warehouse automation,San Jose,California,United States,"""Warehouse Automation Robotics Solutions""",http://fetchrobotics.com/,https://www.linkedin.com/company/fetchrobotics/,https://www.crunchbase.com/organization/fetch-robotics,https://techcrunch.com/tag/fetch-robotics/,2025-07-23 19:45:59.161561,0.5,20.0,3.5,10,growth,0.85,3.8,3.2,0.3,3.7
Hebbia,Hebbia is an AI platform that helps companies transform heaps of information into insights.,2020,161100000.0,series_b,George Sivulka|Stanford AI researchers and engineers|Lukas Schmit|Tim Lupo,Andreessen Horowitz|Index Ventures|Abstract|Radical Ventures|Floodgate,AI|Productivity|NLP,,,United States,"""AI-Driven Information Retrieval and Productivity Solutions""",http://hebbia.com,http://linkedin.com/company/hebbia,https://www.crunchbase.com/organization/hebbia,https://techcrunch.com/2020/10/28/hebbia-wants-to-make-ctrl-f-or-command-f-actually-useful-through-better-ai/,2025-07-23 19:46:10.552508,10.8,15.0,4.5,20,unknown,0.85,4.8,4.2,1.5,4.5
Deep Vision,"Embedded deep learning computer vision solution for drones, robots, and IOT cameras",2014,35000000.0,series_b,Rehan Hameed|Wajahat Qadeer|Ravi Annavajjhala,Tiger Global Management|Western Digital|Dhvc|Sinovation Ventures|Exfinity Venture Partners,AI|Edge Computing|Computer Vision,,,United States,"""AI Edge Computing for Smart Applications""",https://deepvision.io/,https://www.linkedin.com/company/deep-vision-inc.,https://www.crunchbase.com/organization/deep-vision-2,https://techcrunch.com/2020/11/16/deep-vision-announces-its-low-latency-ai-processor-for-the-edge/,2025-07-23 19:46:25.592801,0.5,35.0,3.8,15,growth,0.85,3.5,3.0,0.8,3.5
Cresta,Cresta uses artificial intelligence to assist sales and service agents in the quality of customer service.,2017,148500000.0,series_d,Zayd Enam|Sebastian Thrun|Andre Esteva|Shan Huang|Tim Shi,Andreessen Horowitz|Sequoia Capital|Jp Morgan Chase|Ballistic Ventures|Greylock,AI|Customer Service|Contact Center,Palo Alto,California,United States,"""AI-Driven Customer Interaction Optimization Solutions""",https://www.cresta.com,https://www.linkedin.com/company/cresta/,https://www.crunchbase.com/organization/cresta,https://techcrunch.com/2020/02/03/ai-startup-cresta-launches-from-stealth-with-millions-from-greylock-and-a16z/,2025-07-23 19:46:33.000998,3.2,20.0,3.8,15,growth,0.85,3.5,2.8,0.5,3.5
Sanas,Sanas is a real-time speech-understanding platform that modulates accents while preserving voices and emotions for natural interactions.,2020,74859839.0,series_b,Maxim Serebryakov|Sharath Keshava Narayana|Shawn Zhang,General Catalyst|Insight Partners|Quiet Capital|Human Capital|Bossa Invest,Voice AI|NLP,,,United States,"""AI Voice Accent Modification Technology""",https://sanas.ai,https://www.linkedin.com/company/sanastech,https://www.crunchbase.com/organization/sanas,https://techcrunch.com/2022/06/22/that-agent-who-sounds-like-theyre-from-paris-texas-try-paris-france/,2025-07-23 19:46:48.748345,0.3,20.0,3.5,10,growth,0.85,3.8,3.5,0.5,3.7
