name,description,founded_year,funding_total_usd,funding_stage,founders,investors,categories,city,region,country,sector,website,linkedin_url,crunchbase_url,source_url,extraction_date,market_size_billion,cagr_percent,timing_score,competitor_count,market_stage,confidence_score_market,us_sentiment,sea_sentiment,total_funding_billion,momentum_score
Hyper,"Hyper provides API references, license creation, API keys, bot protection, traffic handling, staff management, and email licensing services.",2021,6300000.0,pre_seed,Ben Sanders|Damian McCabe|Ben Botvinick,Y Combinator,AI|Emergency Services,,,,"""AI-Driven Emergency Response Call Management Solutions""",https://docs.hyper.co/,https://www.linkedin.com/company/metalaboratories/,https://www.crunchbase.com/organization/hyper-98c4,https://techcrunch.com/2025/07/21/ai-voice-company-hyper-raises-6-3m-to-help-automate-911-calls/,2025-07-23 17:02:46.836546,0.3,20.0,4.0,10,growth,0.85,4.2,3.8,0.5,3.8
ElevenLabs,ElevenLabs develops AI audio models for speech and sound generation.,2022,281000000.0,series_c,Mati Staniszewski|Piotr Dabkowski,Andreessen Horowitz|Sequoia Capital|Valor Equity Partners|Endeavor Catalyst|New Enterprise Associates,AI|Voice Synthesis,,,,"""AI-Driven Voice Synthesis and Audio Content Creation""",http://elevenlabs.io,https://www.linkedin.com/company/elevenlabsio,https://www.crunchbase.com/organization/elevenlabs,https://www.siliconvalley.com/2024/01/18/olson-facebooks-stubborn-tolerance-for-audio-deepfakes-is-absurd/,2025-07-23 17:04:04.326859,1.2,15.0,4.0,15,unknown,0.85,4.2,3.8,0.8,3.8
Orbital Insight,Orbital Insight builds SaaS technology to understand what happens on and to the Earth with AI and machine learning,2013,130200000.0,series_e,Jimi Crawford|David J. La Placa|James Crawford|Jeff Stein,Plug And Play|Sequoia Capital|Goldman Sachs|Lux Capital|Geodesic Capital,AI|Machine Learning,,,,"""Satellite Imagery Analytics for Resource Estimation""",http://www.orbitalinsight.com,http://www.linkedin.com/company/orbital-insight-inc-,https://www.crunchbase.com/organization/orbital-insight-inc,https://www.wired.com/2015/03/orbital-insight/,2025-07-23 17:04:31.029321,1.2,15.0,3.8,10,unknown,0.85,3.5,3.0,0.3,3.5
Simplify,Simplify is a common application for jobs and internships.,2020,4200000.0,seed,Michael Yan|Ethan Horoschak|Rushil Srivastava,Y Combinator|Craft Ventures|Skydeck Berkeley|Global Founders Capital|Soma Capital,AI|Job Search|Recruitment,San Francisco,California,United States,"""AI-Driven Recruitment and Job Search Optimization Platform""",https://simplify.jobs/,https://www.linkedin.com/company/simplifyjobs,https://www.crunchbase.com/organization/simplify-d633,https://www.siliconvalley.com/2025/04/11/bay-area-gen-z-entrepreneur-uses-ai-to-help-job-seekers/,2025-07-23 17:04:58.071075,3.5,20.0,4.0,30,growth,0.85,4.2,3.8,1.2,4.1
Endless West,Endless West is a beverage company offering blend of wines and spirits.,2019,93700000.0,series_c,Josh Decolongon|Alec Lee|Mardonn Chua,Alumni Ventures|Fj Labs|Partech|Sosv|Collaborative Fund,,San Francisco,California,United States,"""Synthetic Wine Production Technology""",http://www.endlesswest.com,https://www.linkedin.com/company/endlesswest/,https://www.crunchbase.com/organization/ava-winery,https://www.siliconvalley.com/2017/08/03/can-this-startups-synthetic-wine-compete-with-napas-best/,2025-07-23 17:05:22.294373,0.0,0.0,1.0,0,unknown,0.35,1.0,1.0,0.0,1.0
Primer,"Freeing up the next generation of kids to be more ambitious, more creative, and to think for themselves.",2019,16700000.0,series_a,Sean Gourley|Maksim Stepanenko|Ryan Delk,Khosla Ventures|Founders Fund|Village Global|K5 Global|Karman Ventures,AI|Natural Language Processing,,,,"""AI-Driven News Aggregation and Analysis Platform""",https://www.primer.com/,https://www.linkedin.com/company/primermicroschools,https://www.crunchbase.com/organization/primer-c6eb,https://www.axios.com/2017/12/15/using-ai-to-navigate-a-drowning-sea-of-data-1513306438,2025-07-23 17:08:30.658663,1.2,20.0,4.0,15,growth,0.85,4.3,3.8,0.8,3.8
Safe Superintelligence,Safe Superintelligence develops AI solutions prioritizing safety in artificial intelligence.,2024,2000000000.0,series_unknown,Ilya Sutskever|Daniel Levy|Daniel Gross,Andreessen Horowitz|Sequoia Capital|Nvidia|Lightspeed Venture Partners|Sv Angel,AI|Superintelligence,,,,"""AI Superintelligence Research and Development Solutions""",https://ssi.inc,https://www.linkedin.com/company/ssi-ai,https://www.crunchbase.com/organization/safe-superintelligence,https://www.axios.com/2024/09/09/superintelligence-ai-safety-ilya-sutskever,2025-07-23 17:09:10.362572,3.5,40.0,4.5,15,early,0.85,4.7,4.3,1.2,4.2
Figure,Figure is an AI robotics company that is building a multi-purpose humanoid form robot.,2022,764500000.0,series_c,Brett Adcock,Openai|Nvidia|Microsoft|Fj Labs|Bossa Invest,AI|Robotics,San Jose,California,United States,"""AI-Enhanced Robotics for Manufacturing and Fleet Operations""",https://www.figure.ai,https://www.linkedin.com/company/figure-ai,https://www.crunchbase.com/organization/figure-b5dc,https://www.siliconvalley.com/2025/03/11/san-jose-ai-artificial-intelligence-robot-jobs-work-tech-build-property/,2025-07-23 17:09:42.322211,5.2,20.0,3.8,15,growth,0.85,3.9,3.5,1.0,3.7
Geometric Intelligence,"Geometric Intelligence is redefining the boundaries of machine learning through innovative, patent-pending techniques.",2014,,seed,Gary Marcus|Doug Bemis|Ken Stanley|Zoubin Gharamani,Liquid 2 Ventures|Fontinalis Partners,AI|Machine Learning,New York,New York,USA,"""Machine Learning Algorithms Inspired by Child Learning""",http://geometric.ai/,,https://www.crunchbase.com/organization/geometric-intelligence,https://www.technologyreview.com/2015/12/17/164285/can-this-man-make-ai-more-human,2025-07-23 17:10:04.542193,1.5,20.0,4.5,15,growth,0.85,4.8,4.2,0.8,4.5
Stanhope AI,Stanhope AI instructs machines and robots on how to make decisions in the actual world.,2021,2621764.5,seed,Professor Rosalyn Moran|Karl Friston|Dr Biswa Sengupta|Biswa Sengupta|Rosalyn Moran,Moonfire Ventures|Mmc Ventures|Creator Fund|Ucl Technology Fund|Rockmount Capital,AI|Machine Learning,London,England,United Kingdom,"""Agentic AI for Autonomous Decision-Making Systems""",https://www.stanhopeai.com/,https://www.linkedin.com/company/stanhope-ai/,https://www.crunchbase.com/organization/stanhope-ai,https://www.artificialintelligence-news.com/2024/03/25/stanhope-raises-2-3m-for-ai-that-teaches-machines-to-make-human-like-decisions/,2025-07-23 17:10:52.372350,1.2,28.0,4.0,15,growth,0.85,4.2,3.8,0.8,3.8
