name,description,founded_year,funding_total_usd,funding_stage,founders,investors,categories,city,region,country,sector,website,linkedin_url,crunchbase_url,source_url,extraction_date,market_size_billion,cagr_percent,timing_score,competitor_count,market_stage,confidence_score_market,us_sentiment,sea_sentiment,total_funding_billion,momentum_score
Fundamental Labs,Fundamental Labs is a venture capital firm that invests in Web3 technology.,2025,,,Raymond Yuan,,AI|Machine Learning|Robotics,,,United States,"""Socially Intelligent AI Agents for Human Interaction""",http://www.fundamentallabs.com/,https://www.linkedin.com/company/fundamental-labs,https://www.crunchbase.com/organization/fundamental-labs,https://altera.al/,2025-07-24 06:20:37.904645,0.3,35.0,4.5,15,early,0.85,4.7,4.3,0.8,4.2
Cleanlab,"Cleanlab makes AI agents reliable. Detect issues, fix root causes, and apply guardrails for safe, accurate performance.",2021,30000000.0,series_a,Anish Athalye|Curtis Northcutt|Jonas Mueller,Menlo Ventures|Bain Capital Ventures|Tq Ventures|Databricks Ventures,AI|Machine Learning,,,United States,"""Real-Time AI Error Detection Solutions""",https://cleanlab.ai,https://www.linkedin.com/company/cleanlab,https://www.crunchbase.com/organization/cleanlab,https://cleanlab.ai/,2025-07-24 06:20:48.683959,0.8,25.0,4.0,15,growth,0.85,4.3,3.8,0.5,3.8
Cedana,"Cedana is VMWare for GPUs. We enable enterprises to orchestrate and operationalize intelligence precisely, reliably, and efficiently.",2023,500000.0,pre_seed,Neel Master|Niranjan Ravichandra,Y Combinator,Cloud Computing|AI,,,United States,"""Cloud Compute Optimization for AI Workloads""",https://www.cedana.ai,https://www.linkedin.com/company/cedanacorp,https://www.crunchbase.com/organization/cedana,https://www.cedana.ai/,2025-07-24 06:21:00.567357,3.2,28.0,4.5,15,growth,0.85,4.7,4.3,1.1,4.2
OptiCore,OptiCore is as photonic computing company developing optical processing units (OPUs),2016,5000000.0,seed,Alex Turnbull,Alex Turnbull|Dorjee Sun|Karan Danthi,AI|Computing|Photonics,,,United States,"""Photonic Integrated Circuits for AI Computing""",https://www.opticore.ai/,https://www.linkedin.com/company/opticore-inc/,https://www.crunchbase.com/organization/opticore,https://www.opticore.ai/,2025-07-24 06:21:12.322665,0.3,25.0,3.5,10,growth,0.85,3.8,4.0,0.5,3.7
Code Metal,AI-Powered development at the Edge,2023,19725000.0,series_unknown,Peter Morales|Alex Showalter-Bucher,Shield Capital|J2 Ventures|Underdog Labs|Fulcrum Venture Accelerator,AI|Robotics|Software Development,Boston,Massachusetts,United States,"""AI-Driven Hardware Software Translation Solutions""",https://www.codemetal.ai,https://www.linkedin.com/company/code-metal,https://www.crunchbase.com/organization/code-metal,https://www.codemetal.ai/news/researchers-launch-code-metal-boston-startup-using-ai,2025-07-24 06:21:23.314884,12.0,20.0,4.5,20,growth,0.85,4.3,3.8,1.5,4.2
ChipBrain,ChipBrain designs the world's best communication-assistance AI to empower with augmented empathy & persuasion in conversations.,2020,,,Curtis Northcutt,,AI|ML|NLP|data-centric ML,Boston,MA,United States,"""Conversational AI and Data-Centric Machine Learning Solutions""",https://chipbrain.com,https://www.linkedin.com/company/chipbrain/,https://www.crunchbase.com/organization/chipbrain,https://research.chipbrain.com/,2025-07-24 06:21:38.586518,1.2,20.0,4.0,15,growth,0.85,4.3,3.8,0.8,3.8
Future House,Future Residential Alternative offers transitional housing and support for adults in need.,2023,,,Sam Rodriques|Andrew White,,AI|Research|Automation,,,United States,"""AI-Driven Scientific Research Automation Solutions""",https://www.futurehousechicago.org,,https://www.crunchbase.com/organization/future-house,https://news.mit.edu/2025/futurehouse-accelerates-scientific-discovery-with-ai-0630,2025-07-24 06:22:04.876057,1.2,18.0,4.0,15,growth,0.85,4.3,3.8,0.8,3.8
Slip Robotics,Slip Robotics is a loading and unloading of trucks firm that offers service supply chain and mobile robotics for logistics industries.,2020,36017160.5,series_b,Chris Smith|Dennis Siedlak|John Jakomin|Christopher Smith|Dennis Jl Siedlak,Dcvc|Overline|Hyde Park Venture Partners|Tech Square Ventures|Pathbreaker Ventures,robotics|automation,Atlanta,Georgia,United States,"""Robotic Logistics Automation for Freight Handling""",https://sliprobotics.com/,https://www.linkedin.com/company/slip-robotics/,https://www.crunchbase.com/organization/slip-robotics,https://techcrunch.com/2024/12/17/slip-robotics-snags-28m-for-its-bots-that-can-load-a-truck-in-five-minutes/,2025-07-24 06:22:17.473104,1.2,15.0,4.0,15,unknown,0.85,4.3,3.8,0.8,3.8
Nota AI,"Nota AI is a tech startup with a focus on optimizing AI models with NetsPresso, our proprietary hardware-aware AI optimization platform.",2023,41300973.0,pre_seed,Eddie Yang|Myungsu Chae|Steven Kim|Tae Ho Kim,Boot64 Ventures|Intervest Co.|Bluepoint|Stone Bridge Ventures|Mirae Asset Securities,AI|NLP,,,United States,"""Advanced Natural Language Processing AI Solutions""",http://nota.ai,https://www.linkedin.com/company/nota-incorporated/,https://www.crunchbase.com/organization/nota-inc,https://venturebeat.com/ai/with-quiet-star-language-models-learn-to-think-before-speaking/?utm_campaign=The%20BRIEF%20newsletter%20|%20eMerge%20Americas%202024&utm_source=hs_email&utm_medium=email&utm_content=300697661&_hsenc=p2ANqtz--4qCYKNa0cMp28ZSnbun-Ck7-IJXzimY08eIxShquk9vBK4AHl66yVdiARC705HiQw0dDvI_DEvR0G1FYWCSR2MGUrymENg2GnGyLXGo4z5ekFINE,2025-07-24 06:22:34.674408,4.5,20.0,4.0,40,growth,0.85,4.3,3.8,1.2,4.2
Cyberhaven,"Cyberhaven is an AI-powered data security company focused on detecting and preventing data loss, insider threats, and protecting cloud data.",2016,162250000.0,series_d,Cristian Zamfir|George Candea|Radu Banabic|Vitaly Chipounov|Volodymyr Kuznetsov,Khosla Ventures|Stepstone Group|Adams Street Partners|Vertex Ventures|Forgepoint Capital,AI|Data Security,,,United States,"""AI-Driven Data Security Solutions for Enterprises""",https://www.cyberhaven.com,https://www.linkedin.com/company/cyberhaven,https://www.crunchbase.com/organization/cyberhaven,https://www.bloomberg.com/news/articles/2024-06-11/ai-security-startup-cyberhaven-raises-88-million-in-new-funding,2025-07-24 06:22:52.185561,3.5,12.0,4.0,20,unknown,0.85,4.2,3.8,1.2,3.8
