founder_name,company_name,linkedin_url,l_level,confidence_score,reasoning,evidence,verification_sources,timestamp
Zhou Xian,Genesis AI,https://www.linkedin.com/in/zhou-xian-588128150,L3,0.68,"The founder has strong technical credentials with a PhD in Robotics from Carnegie Mellon University, one of the world's top institutions for robotics and AI research. This indicates deep technical expertise and research capabilities in a highly relevant field for their current AI venture. The PhD credential alone places them at minimum in the L3 category as a technical veteran, though without more information about work experience or company traction, we cannot justify a higher classification. Carnegie Mellon's robotics program typically requires 4-6 years of advanced research work, providing substantial technical depth.",,,
Donglai Xiang,Genesis AI,https://www.linkedin.com/in/donglai-xiang,L3,0.68,"The founder demonstrates strong technical credentials with a PhD in Robotics from Carnegie Mellon University (a top institution in the field) and current position as a Research Scientist at NVIDIA (a leading AI/tech company). This combination of advanced technical education and experience at a major tech company places them at L3 as a Technical Veteran. While they show strong technical expertise, there's no evidence yet of startup exits, major management roles, or significant entrepreneurial track record that would justify a higher classification.",,,
Theophile Gervet,Genesis AI,https://fr.linkedin.com/in/theophile-gervet,L3,0.68,"Theophile Gervet demonstrates strong technical credentials and experience at notable AI companies that places him at the L3 (Technical and Management Veterans) level. His PhD in Machine Learning from Carnegie Mellon University (a top institution) combined with experience at significant AI companies like Meta AI and Mistral AI (a prominent European AI startup) shows deep technical expertise. While he's now a co-founder at Genesis AI, there isn't enough evidence yet of major exits or significant company scaling to justify a higher classification. His profile aligns well with the L3 criteria of having advanced technical expertise and experience at high-growth companies.",,,
Rajiv Kumar Jonnakuti,Genesis AI,https://in.linkedin.com/in/rajiv-kumar-jonnakuti-9379a722b,L1,0.68,"Based on the available information, this appears to be a first-time founder with minimal documented professional experience. The profile shows only one role (current founder position) with no prior work experience listed, no educational background provided, and no evidence of previous entrepreneurial ventures or significant corporate experience. The company (Genesis AI Innovations) appears to be in its early stages with no documented funding rounds, scale metrics, or major client wins. The LinkedIn profile is relatively new (based on profile URL format) and lacks comprehensive details typically associated with more experienced professionals.",,,
Yi-Ling Qiao,Genesis AI,https://www.linkedin.com/in/yi-ling-qiao-052214113,L3,0.68,"Yi-Ling Qiao demonstrates strong technical credentials with a PhD in Computer Science from a reputable institution (University of Maryland) and is currently working as a technical founder. The PhD in Computer Science, particularly in a relevant technical field, meets one of the key criteria for L3 classification as a Technical Veteran. While they are early in their entrepreneurial journey with Genesis AI, their advanced technical education provides a strong foundation for technical leadership. The classification as L3 is supported primarily by their academic achievements, though they are likely at the earlier stage of this classification level.",,,
Tamay Besiroglu,Mechanize,https://www.linkedin.com/in/tamay-besiroglu,L2,0.6400000000000001,"Tamay Besiroglu shows characteristics of an early-stage entrepreneur with strong academic credentials and early entrepreneurial activity. His MPhil from Cambridge indicates strong intellectual capability, and he's taken the step to found Mechanize as CEO. The classification as L2 is based on his profile matching the 'Early-Stage Entrepreneurs' category with evidence of academic excellence and initial founder experience, though still early in his entrepreneurial journey.",,,
Matthew Barnett,Mechanize,https://www.linkedin.com/in/matthew-barnett-4aa7b81a7,L1,0.68,"Based on the available information, Matthew Barnett appears to be a nascent founder with a strong educational background but limited professional experience. His profile shows he's a recent UC Berkeley Computer Science graduate who has founded Mechanize Inc. The lack of prior work experience and the fact that this appears to be his first venture places him squarely in the L1 category as a first-time founder. While his Berkeley CS degree provides strong technical foundation, there's no evidence yet of significant entrepreneurial achievements or prior company-building experience.",,,
Jenny Wang,Alta,https://www.linkedin.com/in/jwang15,L2,0.6400000000000001,"Jenny Wang shows characteristics of an early-stage entrepreneur with promising signals but limited concrete operational track record. Her Harvard CS background and significant media coverage in top-tier publications (Vogue, WSJ, Forbes) indicate strong potential. Her angel investment portfolio suggests good network access and startup ecosystem understanding. However, Alta appears to be her first major founding role, placing her in the early-stage founder category with signs of momentum.",,,
Cole Sterrett,Alta,https://www.linkedin.com/in/cole-sterrett-86717bab,L1,0.68,"Based on the available information, Cole Sterrett appears to be a nascent founder with limited professional experience. The profile shows only one professional role as Co-Founder at Alta, with no prior work experience listed. Combined with his education in Finance from University of Pittsburgh, this suggests he is likely a first-time founder early in his entrepreneurial journey. The lack of extensive work history and the single founder role aligns with the L1 classification criteria for new entrepreneurs with minimal experience but showing entrepreneurial initiative.",,,
Misha Laskin,Reflection AI,https://www.linkedin.com/in/mishalaskin,L2,0.6400000000000001,"Misha Laskin appears to be an early-stage entrepreneur with strong academic credentials but limited entrepreneurial track record. His current role as CEO of ReflectionAI represents his first major founder position. The Yale physics degree suggests strong technical capabilities, but without extensive work history or proven exits, he fits best in the L2 category as an early-stage entrepreneur showing promise. The physics background from Yale indicates strong analytical capabilities relevant to AI/tech entrepreneurship, but there's no evidence yet of significant scale or exits that would justify a higher classification.",,,
